PARAMETERS
Security level: 128 bits
Varying values of A for each curve
Co-factor is 4
Twist-secure curve
-------------------------
7 not Montgomery
1 not Montgomery
11 not Montgomery
3 not Montgomery
8 not Montgomery
12 small_factor 8
13 not Montgomery
15 not Montgomery
18 small_factor 8
16 not Montgomery
10 small_factor 3
2 small_factor 3
20 not Montgomery
19 small_factor 8
21 not Montgomery
14 small_factor 3
23 not Montgomery
24 not Montgomery
6 small_factor 8
25 not Montgomery
26 not Montgomery
27 small_factor 8
28 not Montgomery
30 not Montgomery
32 not Montgomery
22 small_factor 3
35 not Montgomery
36 not Montgomery
4 not Montgomery
37 small_factor 8
38 not Montgomery
17 small_factor 8
31 small_factor 3
39 not Montgomery
40 not Montgomery
41 not Montgomery
45 not Montgomery
46 not Montgomery
47 not Montgomery
44 small_factor 8
33 not Montgomery
9 small_factor 5
49 not Montgomery
50 not Montgomery
51 not Montgomery
29 not Montgomery
53 not Montgomery
52 not Montgomery
56 not Montgomery
57 not Montgomery
58 not Montgomery
34 not Montgomery
48 small_factor 3
61 not Montgomery
62 not Montgomery
43 small_factor 8
42 small_factor 8
63 small_factor 8
64 not Montgomery
60 small_factor 8
59 small_factor 3
67 not Montgomery
69 not Montgomery
70 small_factor 8
71 not Montgomery
73 small_factor 8
75 not Montgomery
77 not Montgomery
78 not Montgomery
76 not Montgomery
72 not Montgomery
80 not Montgomery
55 not Montgomery
85 not Montgomery
79 small_factor 3
82 not Montgomery
74 not Montgomery
83 not Montgomery
86 not Montgomery
87 not Montgomery
54 small_factor 8
89 not Montgomery
66 not Montgomery
92 not Montgomery
91 small_factor 8
93 not Montgomery
84 small_factor 8
96 not Montgomery
97 small_factor 8
98 not Montgomery
88 small_factor 3
99 not Montgomery
100 not Montgomery
101 small_factor 8
102 not Montgomery
104 not Montgomery
105 not Montgomery
106 not Montgomery
65 small_factor 5
109 not Montgomery
108 not Montgomery
90 small_factor 8
111 small_factor 8
112 not Montgomery
113 not Montgomery
107 small_factor 3
115 small_factor 8
116 small_factor 8
117 not Montgomery
103 not Montgomery
120 small_factor 8
110 small_factor 8
121 not Montgomery
122 small_factor 8
94 small_factor 8
123 not Montgomery
124 small_factor 8
119 small_factor 3
127 not Montgomery
128 not Montgomery
114 small_factor 8
129 not Montgomery
130 not Montgomery
131 small_factor 8
132 not Montgomery
125 small_factor 3
134 not Montgomery
133 not Montgomery
135 not Montgomery
136 small_factor 8
138 not Montgomery
142 not Montgomery
126 not Montgomery
118 small_factor 8
139 small_factor 3
144 not Montgomery
147 not Montgomery
148 not Montgomery
137 small_factor 8
140 small_factor 8
150 not Montgomery
151 not Montgomery
153 not Montgomery
152 not Montgomery
141 not Montgomery
154 not Montgomery
149 small_factor 3
145 small_factor 8
146 small_factor 8
143 not Montgomery
156 not Montgomery
159 not Montgomery
161 small_factor 8
162 not Montgomery
163 small_factor 8
164 not Montgomery
168 not Montgomery
167 not Montgomery
169 not Montgomery
170 not Montgomery
171 not Montgomery
157 not Montgomery
172 not Montgomery
166 not Montgomery
160 not Montgomery
155 small_factor 8
175 not Montgomery
165 small_factor 8
176 not Montgomery
178 not Montgomery
177 not Montgomery
180 small_factor 8
174 small_factor 3
183 not Montgomery
185 not Montgomery
186 not Montgomery
184 not Montgomery
187 not Montgomery
179 small_factor 3
188 not Montgomery
182 small_factor 8
190 not Montgomery
173 small_factor 8
192 not Montgomery
181 not Montgomery
193 not Montgomery
194 not Montgomery
189 not Montgomery
196 not Montgomery
198 not Montgomery
197 small_factor 8
199 not Montgomery
202 not Montgomery
203 not Montgomery
201 small_factor 8
200 not Montgomery
205 not Montgomery
207 small_factor 8
208 not Montgomery
209 not Montgomery
195 small_factor 8
210 not Montgomery
158 small_factor 7
206 small_factor 3
212 not Montgomery
213 not Montgomery
215 not Montgomery
218 not Montgomery
217 small_factor 8
216 not Montgomery
204 small_factor 8
221 small_factor 8
222 small_factor 8
223 not Montgomery
225 not Montgomery
219 small_factor 3
226 not Montgomery
211 small_factor 8
227 not Montgomery
229 not Montgomery
230 not Montgomery
231 not Montgomery
220 not Montgomery
235 not Montgomery
236 not Montgomery
214 not Montgomery
228 not Montgomery
238 not Montgomery
234 not Montgomery
239 not Montgomery
232 small_factor 8
240 not Montgomery
242 not Montgomery
241 small_factor 8
243 not Montgomery
245 not Montgomery
247 small_factor 8
248 not Montgomery
249 not Montgomery
244 small_factor 3
246 small_factor 3
237 small_factor 5
253 not Montgomery
252 not Montgomery
250 small_factor 3
254 not Montgomery
255 not Montgomery
256 not Montgomery
257 not Montgomery
260 not Montgomery
262 not Montgomery
251 small_factor 8
263 not Montgomery
259 not Montgomery
258 small_factor 8
266 not Montgomery
267 not Montgomery
268 not Montgomery
269 not Montgomery
261 small_factor 8
265 small_factor 8
271 not Montgomery
272 not Montgomery
274 small_factor 8
275 not Montgomery
264 small_factor 8
276 not Montgomery
277 small_factor 8
278 small_factor 8
279 not Montgomery
280 small_factor 8
281 small_factor 8
282 not Montgomery
273 small_factor 8
285 not Montgomery
270 not Montgomery
286 not Montgomery
287 not Montgomery
288 small_factor 8
224 small_factor 11
284 small_factor 3
289 not Montgomery
291 not Montgomery
292 not Montgomery
293 not Montgomery
95 small_factor 17
283 not Montgomery
295 not Montgomery
296 not Montgomery
298 small_factor 8
299 not Montgomery
300 not Montgomery
302 not Montgomery
303 not Montgomery
304 not Montgomery
294 not Montgomery
306 not Montgomery
307 not Montgomery
308 small_factor 8
301 small_factor 8
310 not Montgomery
311 not Montgomery
313 not Montgomery
314 not Montgomery
305 small_factor 8
317 not Montgomery
316 not Montgomery
5 small_factor 19
297 small_factor 8
309 small_factor 8
318 not Montgomery
320 not Montgomery
319 not Montgomery
321 not Montgomery
323 not Montgomery
324 not Montgomery
325 not Montgomery
327 not Montgomery
315 small_factor 8
328 not Montgomery
322 small_factor 3
329 small_factor 8
312 not Montgomery
331 not Montgomery
333 not Montgomery
326 small_factor 3
335 not Montgomery
337 not Montgomery
336 not Montgomery
332 small_factor 3
339 not Montgomery
341 not Montgomery
334 small_factor 3
342 not Montgomery
330 not Montgomery
345 not Montgomery
340 small_factor 3
347 not Montgomery
348 not Montgomery
349 not Montgomery
350 not Montgomery
346 small_factor 3
351 not Montgomery
353 not Montgomery
338 small_factor 8
355 not Montgomery
357 not Montgomery
358 not Montgomery
356 small_factor 3
359 not Montgomery
344 small_factor 8
290 small_factor 5
360 not Montgomery
361 not Montgomery
364 not Montgomery
366 not Montgomery
352 not Montgomery
367 not Montgomery
362 small_factor 3
368 not Montgomery
369 small_factor 8
370 small_factor 8
371 not Montgomery
372 not Montgomery
354 not Montgomery
373 small_factor 8
363 small_factor 8
374 not Montgomery
376 not Montgomery
377 not Montgomery
378 not Montgomery
380 small_factor 8
379 not Montgomery
381 not Montgomery
382 not Montgomery
384 not Montgomery
385 not Montgomery
387 small_factor 8
383 small_factor 3
388 not Montgomery
389 not Montgomery
392 not Montgomery
393 not Montgomery
390 small_factor 3
365 small_factor 5
386 small_factor 8
375 small_factor 8
396 small_factor 8
398 not Montgomery
399 not Montgomery
400 not Montgomery
395 small_factor 3
391 small_factor 8
402 not Montgomery
403 small_factor 8
394 small_factor 8
406 not Montgomery
407 not Montgomery
408 not Montgomery
404 small_factor 3
409 not Montgomery
401 not Montgomery
411 not Montgomery
414 not Montgomery
415 not Montgomery
416 not Montgomery
417 not Montgomery
405 small_factor 8
413 small_factor 3
418 not Montgomery
397 small_factor 8
419 not Montgomery
410 not Montgomery
421 small_factor 8
422 not Montgomery
423 not Montgomery
425 not Montgomery
427 not Montgomery
412 not Montgomery
428 small_factor 8
429 not Montgomery
430 small_factor 8
433 not Montgomery
420 not Montgomery
434 not Montgomery
435 not Montgomery
424 small_factor 8
438 not Montgomery
439 not Montgomery
436 small_factor 3
440 not Montgomery
443 not Montgomery
442 not Montgomery
444 not Montgomery
431 small_factor 8
445 not Montgomery
437 not Montgomery
432 not Montgomery
446 not Montgomery
448 not Montgomery
441 not Montgomery
451 not Montgomery
450 not Montgomery
452 not Montgomery
453 not Montgomery
449 small_factor 3
455 not Montgomery
457 not Montgomery
458 not Montgomery
460 not Montgomery
459 not Montgomery
454 small_factor 3
461 not Montgomery
464 not Montgomery
456 small_factor 8
466 not Montgomery
462 small_factor 3
447 small_factor 8
463 small_factor 3
467 not Montgomery
343 small_factor 11
465 small_factor 3
468 not Montgomery
469 small_factor 8
472 not Montgomery
470 not Montgomery
471 not Montgomery
